year,CO2_price,location,total_cost,EU_TS_penalty,FuelEU_penalty,amount_VLSFO,amount_MDO,amount_BIO-DIESEL,amount_LNG,amount_E-METHANOL
2030,190,Berth,831500.0,609140.0,222046.2,,,,,
2030,190,Intra,3024476.333,730968.0,0.0,2.7008942507985388e-11,1200.0,1008.3333333333102,,
2030,190,Inter,1512238.167,182742.0,0.0,2.083505054121438e-09,600.0,504.1666666648871,,
2030,190,Berth,582050.0,426398.0,95162.66,,,,,
2030,190,Intra,1640893.025,637383.24,122442.21,,1000.0,,54.054054054054056,
2030,190,Inter,1055238.158,212301.89,4222.21,,500.0,,229.72972972972974,
2030,190,Berth,498900.0,365484.0,53925.5,,,,,
2030,190,Intra,1133268.422,365484.0,0.0,,600.0,,,211.05527638190955
2030,190,Inter,566634.211,91371.0,0.0,,300.0,,,105.52763819095478
2030,190,Berth,291025.0,213199.0,22204.62,,,,,
2035,90,Intra,8793965.456,2090155.61,2584608.63,5743.90243902439,1500.0,,,
2035,90,Inter,3764910.581,522187.02,645580.43,2819.512195121951,800.0,,,
2035,90,Berth,831500.0,288540.0,572491.68,,,,,
2035,90,Intra,2508196.628,554383.07,0.0,721.338697653023,1200.0,392.1898624213762,,
2035,90,Inter,1254098.313,138595.77,0.0,360.6693527481435,600.0,196.09492786096078,,
2035,90,Berth,582050.0,201978.0,245353.58,,,,,
2035,90,Intra,1532550.342,301918.38,349564.4,,1000.0,,54.054054054054056,
2035,90,Inter,910778.715,100564.05,83238.44,,500.0,,229.72972972972974,
2035,90,Berth,498900.0,173124.0,139033.69,,,,,
2035,90,Intra,940908.422,173124.0,0.0,,600.0,,,211.05527638190955
2035,90,Inter,470454.211,43281.0,0.0,,300.0,,,105.52763819095478
2035,90,Berth,291025.0,100989.0,57249.17,,,,,
2035,110,Intra,9258444.48,2554634.63,2584608.63,5743.90243902439,1500.0,,,
2035,110,Inter,3996993.703,638228.59,645580.43,2819.512195121951,800.0,,,
2035,110,Berth,831500.0,352660.0,572491.68,,,,,
2035,110,Intra,2631392.864,677579.31,0.0,721.3386998871161,1200.0,392.1898605130883,,
2035,110,Inter,1315696.431,169394.83,0.0,360.6693521591264,600.0,196.09492836407952,,
2035,110,Berth,582050.0,246862.0,245353.58,,,,,
2035,110,Intra,1599643.315,369011.35,349564.4,,1000.0,,54.054054054054056,
2035,110,Inter,955473.85,122911.62,83238.44,,500.0,,229.72972972972974,
2035,110,Berth,498900.0,211596.0,139033.69,,,,,
2035,110,Intra,979380.422,211596.0,0.0,,600.0,,,211.05527638190955
2035,110,Inter,489690.211,52899.0,0.0,,300.0,,,105.52763819095478
2035,110,Berth,291025.0,123431.0,57249.17,,,,,
2035,130,Intra,9722923.504,3019113.66,2584608.63,5743.90243902439,1500.0,,,
2035,130,Inter,4229076.825,754270.15,645580.43,2819.512195121951,800.0,,,
2035,130,Berth,831500.0,416780.0,572491.68,,,,,
2035,130,Intra,2754589.104,800775.54,0.0,721.3386940732138,1200.0,392.18986547912994,,
2035,130,Inter,1377294.55,200193.89,0.0,360.66935222183866,600.0,196.09492831051278,,
2035,130,Berth,582050.0,291746.0,245353.58,,,,,
2035,130,Intra,1666736.288,436104.32,349564.4,,1000.0,,54.054054054054056,
2035,130,Inter,1000168.985,145259.19,83238.44,,500.0,,229.72972972972974,
